ID,Nombre
fb1,"""Trevor llega a los aposentos de Dracula "
fb1a,decidido a acabar con su tirania.
fb1b,Una batalla llena de sangre y latigazos comienza.
fb1c,"Haz ayudado a Trevor a ganar"""
fm1,"""Trevor muere en el castillo; la luna de sangre lo devuelve"
fm1a,como su peor pesadilla: otro esbirro de Dracula.
fm1b,"Perdiste."""
t1,"Para ganar este minijuego, deberas matar a todos"
t2,los murcielagos en 6 segundos sin ser impactado.
t3,"Para lograr esto, deberas hacer click izquierdo en "
t4,las zonas donde se encuentren los murcielagos
t5,y podras moverte hacia los lados con las flechas del teclado.
